Term / Paper,Question,Topic,Subtopic,Marks
December 2025,Explain importance and key principles of HCI design.,Software Design and Architecture,Human Computer Interaction (HCI),10
December 2025,Explain software quality metrics and different types used to measure quality.,Software Quality and Process Improvement,Software Quality Metrics,10
December 2025,Define Software Project Management and explain COCOMO for cost estimation.,Software Project Estimation and Management,COCOMO Model,10
December 2025,Discuss challenges and solutions for managing global software development teams.,Mobile and Web Application Engineering,Global Software Development,10
December 2025,Explain software testing and any two testing techniques.,Software Testing,Software Testing Techniques,10
December 2025,"Explain risk analysis, its steps, and a risk assessment matrix.",Software Project Estimation and Management,Risk Analysis,10
December 2025,Write a short note on Software Process Improvement (SPI).,Software Quality and Process Improvement,Software Process Improvement (SPI),5
December 2025,Write a short note on Software Configuration Management (SCM).,Software Configuration and Change Management,Software Configuration Management,5
December 2025,Write a short note on Software Reuse.,Software Design and Architecture,Software Reuse,5
December 2025,Write a short note on Reverse Engineering.,Software Maintenance and Evolution,Reverse Engineering,5
