Term / Paper,Question,Topic,Subtopic,Marks
December 2023,Rewrite beginning with 'He is' (food is being prepared).,Grammar and Sentence Transformation,Sentence transformation,1
December 2023,Rewrite beginning with 'Please' (request to throw garbage in dustbin).,Grammar and Sentence Transformation,Sentence transformation,1
December 2023,Rewrite beginning with 'A new uniform' (she stitched it for her sister).,Grammar and Sentence Transformation,Sentence transformation,1
December 2023,"Write a letter to a friend sharing details of a newly offered university course, including innovation, understanding and scope.",Written Communication,Letter writing,10
June 2023,Explain automation.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2023,"Explain why computers cannot lead independent lives or rule the world, giving two reasons.",Reading Comprehension and Vocabulary,Reading comprehension,2
June 2023,State Sir Leon's views on automation.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2023,Explain the meanings of 'controlled by machine' and 'rule the world'.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2023,Give a suitable title to the passage and justify it.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2023,"Find passage words/phrases meaning make progress, creation, precious, having the ability, available as another possibility and a way/course.",Reading Comprehension and Vocabulary,Contextual vocabulary,6
June 2023,"Make sentences using Widely, Complicated, Possibility and Conditions.",Reading Comprehension and Vocabulary,Sentence usage,4
June 2023,Write a short note on the qualities of a leader.,Career and Workplace Skills,Leadership,5
June 2023,Write a short note on problem solving skills.,Career and Workplace Skills,Problem solving,5
June 2023,Write a short note on the importance of feedback in communication.,Professional Communication,Feedback,5
June 2023,Explain why honesty is the best policy.,Ethics and Professional Conduct,Honesty and morality,5
June 2023,Choose the correct articles in the Mumbai/India sentence passage.,Grammar and Sentence Transformation,Articles,5
June 2023,Rewrite beginning with 'Heavy floods' (train delayed).,Grammar and Sentence Transformation,Sentence transformation,1
June 2023,Rewrite beginning with 'A car' (will buy by next year).,Grammar and Sentence Transformation,Sentence transformation,1
June 2023,Rewrite beginning with 'They' (game is played by them).,Grammar and Sentence Transformation,Sentence transformation,1
June 2023,Rewrite beginning with 'Please' (parents requested participation).,Grammar and Sentence Transformation,Sentence transformation,1
June 2023,Rewrite beginning with 'A vocational course' (University launched it).,Grammar and Sentence Transformation,Sentence transformation,1
June 2023,"Write a letter to parents informing them about an internship at a tech firm, including work profile, incentives and challenges overcome.",Written Communication,Letter writing,10
